generatecrypto	generatersa	encryptioncrypto	encryptionrsa	decryptioncrypto	decryptionrsa
2.671716568	0.025799083	0.000332313	0.000100057	0.000031862	0.002518757
0.982234657	0.021313563	0.000626614	0.000185022	0.000031582	0.003488584
0.375111311	0.031485568	0.001295433	0.000098939	0.000042762	0.005592858
0.458153681	0.030777344	0.000679718	0.00012605	0.00003242	0.003188971
0.428837788	0.013325763	0.0007113	0.000104529	0.000031303	0.003097019
0.448539535	0.028018785	0.000354392	0.000328959	0.000031303	0.003713572
10.79354196	0.032887207	0.000621304	0.00019145	0.000031023	0.00387903
1.434011235	0.023057854	0.000314146	0.000168252	0.000031582	0.003197915
2.575996851	0.017730231	0.000508392	0.000060649	0.000031862	0.002742907
2.65842127	0.054740463	0.000485752	0.000114032	0.000031582	0.003361695
1.39084274	0.024841274	0.001128856	0.000145893	0.000031582	0.00331055
1.804004818	0.037030074	0.000279768	0.000110677	0.000031862	0.003150122
0.674396381	0.040550241	0.000709623	0.00010397	0.000031582	0.00361016
0.651248812	0.012615579	0.000332871	0.000102573	0.000031023	0.002546985
3.932937559	0.018953836	0.000619068	0.000102852	0.000031582	0.008073043
1.379781398	0.010531988	0.00095194	0.000145055	0.000019564	0.003119658
1.294786237	0.022920066	0.000875081	0.000109839	0.000045557	0.003757452
2.704709981	0.013283001	0.000190891	0.000048072	0.000032421	0.003773662
3.527849639	0.009794697	0.000707387	0.000116267	0.000031303	0.003474609
4.347013847	0.010537298	0.000951381	0.000143657	0.000031862	0.00318925
3.648787943	0.029820093	0.000340138	0.00010928	0.000031023	0.003464267
0.591405994	0.02311515	0.000483795	0.00010341	0.000031303	0.003133912
0.596430093	0.095512617	0.000632484	0.000102573	0.000031303	0.003142855
7.935694018	0.014572842	0.000444108	0.000145614	0.000031303	0.002538041
4.056141399	0.010968272	0.000622422	0.000114311	0.000031023	0.003282601
3.108513645	0.018288372	0.000637236	0.000105926	0.000031303	0.005299953
1.061889339	0.029328472	0.000976535	0.001226398	0.000031303	0.003629166
0.444012651	0.018511963	0.00030101	0.000119342	0.000031024	0.003470975
0.438526836	0.018397093	0.000637515	0.000107045	0.000031303	0.003085001
0.767447816	0.024709633	0.000530749	0.000105367	0.000031582	0.002759116
5.37138736	0.009706659	0.00059084	0.000141981	0.000043042	0.002948051
1.033243102	0.037482847	0.000232255	0.000122137	0.000032421	0.006903662
2.905088877	0.01444847	0.001425395	0.000104249	0.00007155	0.00385192
